vehicle_id,vehicle_type,make_id,model_year,vehicle_desc,color,date_stolen,location_id
197,"Trailer - Heavy",623,2019,"CABLE DRUM",Silver,2022-03-13,111
198,Trailer,623,1999,LOCAL,Silver,2022-02-02,102
199,Trailer,623,1998,KING,Silver,2022-02-19,106
200,Trailer,623,2001,"HOME BUILT",Grey,2021-10-14,115
201,"Trailer - Heavy",623,2019,"IFOR WILLIAMS",Silver,2022-01-07,101
202,Trailer,623,1977,LOCAL,Orange,2021-10-25,104
203,Roadbike,625,2004,SPEEDTRIPLE,Red,2022-02-10,108
204,Trailer,623,2019,DOLY,Grey,2021-11-29,106
205,Trailer,623,2019,"SINGLE AXLE",Grey,2021-12-15,114
206,Roadbike,611,2005,GN250,Black,2022-04-02,102
207,Roadbike,550,1985,XL250,White,2022-03-27,109
208,Trailer,623,2019,ROOFLINE,Grey,2022-02-14,111
209,Trailer,623,2019,"T D ENGINEERING",Silver,2022-03-17,107
210,Trailer,623,2015,"TRADETESTED 7 X 4",Silver,2021-10-12,102
211,Trailer,623,2015,VULCAN,Silver,2021-11-01,102
212,Trailer,623,2016,"HOME MADE",Grey,2022-03-01,109
213,Caravan,504,1976,CARAVAN,White,2021-12-01,102
214,"Trailer - Heavy",597,2015,TRAILER,Silver,2021-10-11,102
215,Trailer,572,2015,"DOMESTIC TRAILER",Silver,2022-04-03,115
216,Trailer,514,2008,"TRAILER 8X4",Silver,2022-02-10,102
217,"Trailer - Heavy",623,1985,SLOAN,Blue,2022-02-22,103
218,Trailer,616,2015,7X4,Silver,2021-12-23,102
219,Trailer,623,2002,HOMEBUILT,Grey,2022-01-31,114
220,Trailer,623,2016,DOMESTIC,Silver,2021-11-22,101
221,"Boat Trailer",623,2000,JETSKI,Black,2021-12-25,103
222,Trailer,623,2016,TANDEM,Silver,2022-04-04,106
223,"Trailer - Heavy",623,2016,FURN,White,2022-01-17,104
224,Trailer,572,2016,"3X2 PLATFORM",Silver,2022-02-27,115
225,Trailer,623,2019,HOMEBUILT,Silver,2022-01-26,108
226,Trailer,623,2019,GORILLA,Silver,2022-01-25,114
227,Roadbike,611,2007,UZ,Grey,2021-12-18,102
228,Trailer,549,1990,TRAILER,Grey,2022-02-10,114
229,Caravan,525,1979,DIPLOMAT,Blue,2022-01-28,108
230,"Trailer - Heavy",623,1976,LOCAL,Silver,2022-01-22,108
231,Trailer,549,1987,TRAILER,Red,2022-03-05,115
232,Trailer,616,2019,"DOMESTIC TRAILER",Silver,2022-03-03,102
233,Trailer,623,2019,HOMEMADE,Silver,2021-12-06,108
234,Moped,594,1998,MOTORCYCLE,Blue,2021-11-06,102
235,Roadbike,611,2003,GSX250,Silver,2021-12-30,104
236,Roadbike,611,2009,VL800,Black,2022-03-31,102
237,Trailer,623,2002,"DOMESTIC TRAILER",Grey,2021-12-29,102
238,Trailer,514,2019,"8X5 TANDEM",Silver,2022-01-09,114
239,Trailer,623,2016,KEA,Silver,2021-10-14,102
240,Trailer,623,2019,TANDEM,Silver,2022-02-16,114
241,Roadbike,611,2007,VL800,Black,2022-01-17,102
242,Trailer,549,1977,"OLEARY 1 AXLE",Silver,2022-03-02,107
243,Trailer,623,2001,"DOMESTIC TRAILER",Silver,2022-01-13,108
244,"Boat Trailer",623,2019,HOMEBUILT,Silver,2021-12-15,102
245,"Boat Trailer",623,2019,BOAT,Silver,2022-01-31,101
246,Trailer,623,2019,HOMEBUILT,Black,2021-11-17,106
247,Trailer,516,2019,"8X5 TANDEM TRAILER",Silver,2021-10-18,114
248,"Boat Trailer",623,2019,BOAT,Silver,2022-03-04,102
249,Trailer,623,2019,"M J SINGLE AXLE",Silver,2022-01-24,114
250,Trailer,549,2019,"DOMESTIC TRAILER",Black,2022-01-06,102
251,Trailer,623,1940,HOMEBUILT,White,2021-11-26,115
252,Trailer,538,2019,"DOMESTIC TRAILER",Silver,2022-03-21,109
253,"Trailer - Heavy",623,2019,ROADCHIEF,Silver,2021-10-24,104
254,Trailer,623,1997,K64SE,Silver,2021-11-04,111
255,Trailer,623,1997,OLEARY,Silver,2022-04-04,108
256,"Boat Trailer",623,2001,LOCAL,Silver,2022-03-15,101
257,Trailer,623,2017,CONCEPT,Silver,2021-10-28,108
258,Trailer,616,2019,"DOMESTIC TRAILER",Silver,2022-03-25,109
259,"Boat Trailer",549,2019,"BOAT TRAILER",Silver,2021-10-29,102
260,Roadbike,636,2005,YZF-R6T,Grey,2022-02-17,102
261,Trailer,538,2019,"TRAILUX TRAILER",Silver,2022-03-31,109
262,Trailer,623,2016,"ELITE 8X4",Silver,2022-02-04,114
263,Trailer,623,2016,UTILITY,Silver,2022-03-22,102
264,"Trailer - Heavy",623,2016,"GT TRAILER",Silver,2021-10-29,114
265,Caravan,630,2016,710,White,2022-03-28,103
266,Trailer,616,2016,"8X5 SINGLE",Silver,2022-03-23,102
267,Trailer,549,2016,"HOME BUILD",Silver,2021-12-07,114
268,Trailer,549,2004,TRAILER,Blue,2022-03-20,114
269,Trailer,623,2016,"COMPASS C85",Silver,2021-12-11,103
270,"Trailer - Heavy",514,2016,TRAILER,Silver,2021-12-07,102
271,Trailer,514,2016,TRAILER,Silver,2022-01-14,114
272,"Trailer - Heavy",623,2016,"GT TRAILER",Silver,2021-10-29,102
273,Trailer,549,1960,TRAILER,White,2022-01-01,114
274,"Trailer - Heavy",623,2013,"MAINLINE TANKER",Grey,2021-11-08,102
275,"Trailer - Heavy",527,2016,TBS,Grey,2021-10-12,102
276,Trailer,623,2016,"GOUGH ENGINEERING",Silver,2022-03-25,103
277,"Trailer - Heavy",514,2016,TRAILER,Silver,2021-11-08,102
278,Trailer,623,2016,"COMPASS KH85T",Silver,2022-02-23,102
279,Trailer,514,2016,6X4,Grey,2021-12-01,102
280,Trailer,623,2016,"ELITE 8X4",Silver,2022-01-30,114
281,Saloon,576,1993,LANTIS,Blue,2022-02-14,103
282,Trailer,623,2016,TUFF,Silver,2021-11-01,102
283,"Trailer - Heavy",514,2016,TRAILER,Silver,2021-11-15,102
284,"Trailer - Heavy",514,2016,"OTHER COMMERCIAL TRA",Silver,2022-03-08,104
285,"Trailer - Heavy",514,2016,"OTHER COMMERCIAL TRA",Silver,2022-01-17,103
286,"Boat Trailer",623,2016,"AAA375 AAKRON",Silver,2022-01-29,102
287,Caravan,519,2007,"LUNA DELTA",White,2022-03-24,109
288,Trailer,623,2016,VULCAN,Silver,2021-10-31,102
289,Trailer,623,2016,TUFF,Silver,2021-10-28,104
290,"Boat Trailer",527,2016,4,Grey,2021-10-22,114
291,"Trailer - Heavy",623,2010,FLATDECK,Blue,2021-11-08,114
292,Trailer,514,2016,"TRAILER 8X4",Silver,2021-11-25,102
293,Roadbike,611,2005,"GSX 750",Blue,2022-03-26,102
294,Trailer,514,2019,8X4,Silver,2022-02-16,114
295,"Boat Trailer",635,1998,JII,Silver,2022-01-05,104
296,"Boat Trailer",623,2000,HOSKING,Silver,2021-12-26,102
297,"Boat Trailer",623,2019,"SPORTLINE 610 HT",Grey,2022-03-30,103
298,Roadbike,505,1998,PEGASO,Red,2022-04-05,115
299,Moped,636,2007,"CV50 JOG",Blue,2021-10-26,102
300,Trailer,623,2019,"HANSA CHIPPER",Green,2022-02-02,103
301,Roadbike,611,2007,GSX600F,Black,2022-03-02,101
302,Trailer,562,2020,"KEA MX4",Silver,2021-12-02,102
303,Trailer,514,1985,"SINGLE AXLE",Grey,2022-02-05,114
304,Roadbike,611,2008,GSX,Orange,2022-03-13,102
305,"Boat Trailer",623,2020,"AFC JETSKI",Silver,2021-11-15,109
306,Trailer,535,1977,RSKF1F27.9,Red,2021-11-04,102
307,"Boat Trailer",623,2020,"ASD JETSKI",Silver,2022-01-04,102
308,Caravan,508,2009,"PEGEANT S7 LOIRE",White,2021-12-19,102
309,"Boat Trailer",623,2020,JETSKI,Grey,2022-04-02,101
310,Roadbike,561,1986,"ZL 900",Red,2021-11-30,101
311,"Boat Trailer",623,2020,JETSKI,Silver,2022-03-30,103
312,Trailer,623,2020,BRI-INN,Silver,2022-03-07,114
313,Trailer,549,1989,LOCAL,Grey,2022-03-22,103
314,"Boat Trailer",623,2019,"JEYSKI ACTION LAB",Grey,2022-01-20,102
315,"Boat Trailer",527,2020,AUCKLAND,Silver,2021-10-08,102
316,Roadbike,554,2006,GV,Red,2022-03-01,105
317,"Boat Trailer",623,2020,HOMEMADE,Grey,2022-01-10,103
318,"Trailer - Heavy",514,2016,"OTHER COMMERCIAL TRA",Silver,2021-12-07,102
319,Caravan,519,1977,"CHEVRON 1300",White,2022-02-26,104
320,Trailer,623,1981,HOMEMADE,Grey,2021-11-12,106
321,Trailer,623,2020,DOMESTIC,Silver,2022-02-03,102
322,Trailer,623,2020,"DOMESTIC TRAILER",Silver,2021-11-01,108
323,Trailer,623,2020,"ELITE 8X4",Silver,2021-12-14,114
324,Trailer,623,2020,FUTURA,Grey,2022-01-13,102
325,"Boat Trailer",623,2020,DMW,Silver,2021-11-21,102
326,Trailer,623,2020,TUFF,Silver,2021-12-13,108
327,Caravan,526,2010,560,White,2021-11-30,114
328,Roadbike,611,2008,GN125H,Red,2022-01-20,111
329,Trailer,623,1996,"DOMESTIC TRAILER",Grey,2022-01-16,105
330,Trailer,562,2020,K85S,Silver,2022-04-02,104
331,Roadbike,611,2005,GS,Black,2022-03-06,102
332,Trailer,623,2012,"DOMESTIC TRAILER",Silver,2021-10-19,107
333,Trailer,623,2020,8X5,Grey,2021-10-10,111
334,Trailer,595,2012,11X5,Silver,2021-12-20,114
335,Trailer,623,2016,DOMESTIC,Silver,2022-03-30,102
336,Trailer,538,2016,"BRENT SMITH TRAILERS",Silver,2022-04-05,109
337,Trailer,616,2016,8X5,Silver,2021-10-19,104
338,Trailer,514,2016,8X4,Silver,2021-11-08,114
339,Trailer,549,2016,TRAILERWAY,Silver,2022-03-10,102
340,"Boat Trailer",597,2016,TRAILER,Silver,2021-12-14,102
341,"Light Van",619,2001,REGIUS,White,2021-10-29,102
342,Trailer,514,2016,"9X4 6 TANDEM",Silver,2022-03-17,109
343,"Trailer - Heavy",623,2016,GT,Silver,2022-02-01,102
344,"Trailer - Heavy",623,2016,"GT TRAILER",Silver,2022-03-07,104
345,Trailer,623,2016,DOMESTIC,Green,2022-01-09,101
346,Trailer,623,2007,HOMEMADE,Black,2021-10-07,103
347,Trailer,623,2016,"DOMESTIC TRAILER",Silver,2022-03-14,114
348,Caravan,519,2005,"BESSACARR CAMEO 625",White,2021-10-31,102
349,Trailer,623,2016,"TRAILER PRO",Silver,2022-04-05,114
350,Trailer,623,2016,8X4,Silver,2022-04-02,114
351,Trailer,514,2016,"8X4 TANDEM",Silver,2022-03-31,114
352,Caravan,612,2002,"BARNWELL ARCHWAY",White,2021-12-25,106
353,Trailer,623,2016,HOMEMADE,Black,2022-03-04,109
354,Trailer,616,2016,"CAR CARRIER",Silver,2021-11-03,104
355,Trailer,623,1970,LOCAL,Grey,2021-12-29,114
356,Trailer,623,2020,TRAYLA,Silver,2022-02-17,108
357,Trailer,623,2020,COMPASS-FPT104,Silver,2021-12-17,103
358,Trailer,623,2020,GIBBONS,Silver,2022-03-02,103
359,Trailer,623,2020,HOMEBUILT,Black,2022-03-03,102
360,"Trailer - Heavy",623,2020,P.S.,Grey,2022-01-07,107
361,Roadbike,611,2009,GSX650F,Blue,2022-01-19,103
362,Trailer,623,1998,"FOXENG 1000",Blue,2021-10-25,109
363,Trailer,623,2020,DOMESTIC,Grey,2022-02-27,102
364,Trailer,623,2020,TANDEM,Black,2022-03-24,104
365,Moped,611,2007,"AZ50 UDK6",Black,2022-03-15,102
366,Trailer,623,2020,COOPER,Black,2021-10-19,114
367,Trailer,616,2020,"DOMESTIC TRAILER",Silver,2022-03-28,105
368,Roadbike,545,2006,SOFTAIL,Black,2022-03-09,102
369,"Boat Trailer",549,2020,"BOX TRAILER",Silver,2022-02-03,101
370,Caravan,519,1980,ZEPHYR,White,2022-01-28,116
371,Trailer,623,2020,ROADCHEF,Silver,2022-03-08,103
372,Trailer,623,2020,TUFF,Silver,2021-10-18,102
373,Roadbike,611,2003,SV1000S,Blue,2021-12-14,102
374,Roadbike,550,1999,CBR,Red,2022-01-04,102
375,"Boat Trailer",623,1996,GIBBONS,Grey,2022-03-30,101
376,Trailer,623,2020,DOMESTIC,Grey,2021-12-13,102
377,Trailer,549,2020,TRAILER,Black,2021-10-16,115
378,Roadbike,611,2008,GSX750F,Black,2022-03-14,102
379,Roadbike,611,2009,GSX,Blue,2021-12-31,114
380,Trailer,623,2020,BOAT,Silver,2021-11-26,102
381,Trailer,549,1998,"DOMESTIC TRAILER",Grey,2022-01-12,102
382,Trailer,623,1974,PRATTLEY,Grey,2022-03-26,114
383,"Boat Trailer",623,2020,BOAT,Silver,2022-01-13,102
384,Trailer,623,2020,"JOB MATE 7 X 4",Silver,2022-01-01,105
385,Trailer,623,2020,TANDEM,Grey,2022-01-09,114
386,Trailer,506,2020,"XAS48XD ROAD COMPRES",Yellow,2022-01-06,114
387,Moped,550,2005,NVS50,Black,2021-12-17,114
388,Roadbike,545,2006,XL,Black,2022-01-13,102
389,Trailer,549,2020,TRAILER,Silver,2022-03-24,106
390,Trailer,623,1980,HOMEMADE,Grey,2022-02-22,108
391,"Boat Trailer",623,2000,MUDGWAY,Silver,2022-03-18,115
392,"Trailer - Heavy",623,2020,TPM,White,2021-11-13,114
393,Trailer,623,2020,"PRO AUTO",Silver,2022-03-07,114
394,Roadbike,611,2007,UZ,Blue,2022-01-14,102
395,Roadbike,554,2007,GT,Yellow,2021-10-09,106
396,Moped,611,2009,UZ50,Orange,2022-03-10,102
397,Trailer,623,2016,"FOXENG 850",Silver,2022-02-03,104
398,Trailer,623,2016,8X4,Silver,2021-11-14,115
399,Trailer,623,2016,"ROAD CHIEF TR74CS/1",Silver,2021-12-19,109
400,"Boat Trailer",623,1975,REID,Grey,2021-11-06,111
401,Trailer,623,2011,TANDEM,Silver,2021-12-21,101
402,Trailer,538,2017,"BRENT SMITH TRAILERS",Silver,2022-03-18,102
403,Trailer,623,2017,CAR,Black,2022-03-16,115
404,"Trailer - Heavy",623,1960,LOCAL,Grey,2022-01-21,114
405,Trailer,623,2017,"TRAILER PRO",Silver,2022-02-14,102
406,Trailer,538,2017,"TRAILUX TRAILER",Silver,2021-12-06,109
407,Trailer,616,2017,"10 X 5",Silver,2021-12-21,109
408,Trailer,623,2017,"HAULER 7X4 TIPPING",Silver,2021-12-05,107
409,"Boat Trailer",623,2017,RB,Silver,2022-01-27,106
410,"Trailer - Heavy",623,2017,"EXCAVATOR TRAILER",Silver,2021-12-31,102
411,Trailer,623,2017,"FOOD CART",Silver,2021-12-13,111
412,Trailer,623,2017,VULCAN,Silver,2021-11-18,102
413,Trailer,549,2017,TRAILER,Black,2022-01-14,104
414,Caravan,519,2002,"COMPASS OMEGA 534",White,2021-11-01,101
415,"Trailer - Heavy",623,2017,"GT TRAILER",Silver,2022-02-23,102
416,Trailer,623,2017,"ELITE 7X4",Silver,2022-02-22,114
417,"Boat Trailer",623,2002,"VOYAGER A16M",Silver,2022-01-08,104
418,Trailer,623,2020,TUFF,Silver,2022-01-25,108
419,Trailer,514,2020,8X4,Silver,2021-10-14,114
420,"Trailer - Heavy",549,1987,HOMEMADE,Green,2022-01-16,114
421,"Boat Trailer",623,2020,WAVERUNNER,Silver,2022-02-13,114
422,Trailer,623,2020,TUFF,Silver,2021-12-31,109
423,Trailer,623,2020,TUFF,Silver,2021-10-27,104
424,Trailer,623,2020,TRAYLA,Silver,2022-03-28,103
425,Trailer,562,2020,KC95,Silver,2021-10-21,103
426,Caravan,519,2009,LUNAR,White,2022-03-24,114
427,Saloon,512,2014,730I,White,2022-03-24,102
428,"Boat Trailer",623,1980,"BOAT TRAILER",Grey,2021-11-09,104
429,Caravan,519,2010,"SWIFT CHALLENGER 570",White,2021-12-28,114
430,Trailer,623,1979,OLEARY,Yellow,2022-03-17,109
431,Caravan,609,2005,ECCLES,White,2021-11-09,102
432,Roadbike,636,2004,FZS,Silver,2022-02-19,114
433,Trailer,623,1981,"DOMESTIC TRAILER",Yellow,2022-04-01,102
434,Roadbike,631,2007,8-BALL,Black,2022-03-31,111
435,Moped,585,2008,"FACTORY BUILT",Gold,2021-11-25,109
436,Trailer,514,1999,7X4,Silver,2022-02-21,114
437,Trailer,623,1967,LOCAL,Red,2022-01-11,103
438,Trailer,624,2020,"ELITE 8X4",Silver,2021-10-24,111
439,Trailer,623,2020,"DOMESTIC TRAILER",Silver,2021-10-14,104
